Age,Income,Score,cluster,cluster_agg
19,15,39,3,4
21,15,81,3,5
20,16,6,4,4
23,16,77,3,5
31,17,40,4,4
22,17,76,3,5
35,18,6,4,4
23,18,94,3,5
64,19,3,4,4
30,19,72,3,5
67,19,14,4,4
35,19,99,3,5
58,20,15,4,4
24,20,77,3,5
37,20,13,4,4
22,20,79,3,5
35,21,35,4,4
20,21,66,3,5
52,23,29,4,4
35,23,98,3,5
35,24,35,4,4
25,24,73,3,5
46,25,5,4,4
31,25,73,3,5
54,28,14,4,4
29,28,82,3,5
45,28,32,4,4
35,28,61,3,0
40,29,31,4,4
23,29,87,3,5
60,30,4,4,4
21,30,73,3,5
53,33,4,4,4
18,33,92,3,5
49,33,14,4,4
21,33,81,3,5
42,34,17,4,4
30,34,73,3,5
36,37,26,4,4
20,37,75,3,5
65,38,35,1,1
24,38,92,3,5
48,39,36,4,4
31,39,61,3,0
49,39,28,4,4
24,39,65,3,5
50,40,55,1,1
27,40,47,2,0
29,40,42,2,0
31,40,42,2,0
49,42,52,1,1
33,42,60,2,0
31,43,54,2,0
59,43,60,1,1
50,43,45,1,1
47,43,41,1,1
51,44,50,1,1
69,44,46,1,1
27,46,51,2,0
53,46,46,1,1
70,46,56,1,1
19,46,55,2,0
67,47,52,1,1
54,47,59,1,1
63,48,51,1,1
18,48,59,2,0
43,48,50,1,0
68,48,48,1,1
19,48,59,2,0
32,48,47,2,0
70,49,55,1,1
47,49,42,1,1
60,50,49,1,1
60,50,56,1,1
59,54,47,1,1
26,54,54,2,0
45,54,53,1,0
40,54,48,2,0
23,54,52,2,0
49,54,42,1,1
57,54,51,1,1
38,54,55,2,0
67,54,41,1,1
46,54,44,1,1
21,54,57,2,0
48,54,46,1,1
55,57,58,1,1
22,57,55,2,0
34,58,60,2,0
50,58,46,1,1
68,59,55,1,1
18,59,41,2,0
48,60,49,1,1
40,60,40,2,0
32,60,42,2,0
24,60,52,2,0
47,60,47,1,1
27,60,50,2,0
48,61,42,1,1
20,61,49,2,0
23,62,41,2,0
49,62,48,1,1
67,62,59,1,1
26,62,55,2,0
49,62,56,1,1
21,62,42,2,0
66,63,50,1,1
54,63,46,1,1
68,63,43,1,1
66,63,48,1,1
65,63,52,1,1
19,63,54,2,0
38,64,42,2,0
19,64,46,2,0
18,65,48,2,0
19,65,50,2,0
63,65,43,1,1
49,65,59,1,1
51,67,43,1,1
50,67,57,1,1
27,67,56,2,0
38,67,40,2,0
40,69,58,2,0
39,69,91,0,2
23,70,29,2,0
31,70,77,0,2
43,71,35,5,1
40,71,95,0,2
59,71,11,5,3
38,71,75,0,2
47,71,9,5,3
39,71,75,0,2
25,72,34,2,0
31,72,71,0,2
20,73,5,2,0
29,73,88,0,2
44,73,7,5,3
32,73,73,0,2
19,74,10,2,0
35,74,72,0,2
57,75,5,5,3
32,75,93,0,2
28,76,40,2,0
32,76,87,0,2
25,77,12,2,0
28,77,97,0,2
48,77,36,5,1
32,77,74,0,2
34,78,22,5,3
34,78,90,0,2
43,78,17,5,3
39,78,88,0,2
44,78,20,5,3
38,78,76,0,2
47,78,16,5,3
27,78,89,0,2
37,78,1,5,3
30,78,78,0,2
34,78,1,5,3
30,78,73,0,2
56,79,35,1,1
29,79,83,0,2
19,81,5,2,0
31,81,93,0,2
50,85,26,5,3
36,85,75,0,2
42,86,20,5,3
33,86,95,0,2
36,87,27,5,3
32,87,63,0,2
40,87,13,5,3
28,87,75,0,2
36,87,10,5,3
36,87,92,0,2
52,88,13,5,3
30,88,86,0,2
58,88,15,5,3
27,88,69,0,2
59,93,14,5,3
35,93,90,0,2
37,97,32,5,3
32,97,86,0,2
46,98,15,5,3
29,98,88,0,2
41,99,39,5,3
30,99,97,0,2
54,101,24,5,3
28,101,68,0,2
41,103,17,5,3
36,103,85,0,2
34,103,23,5,3
32,103,69,0,2
33,113,8,5,3
38,113,91,0,2
47,120,16,5,3
35,120,79,0,2
45,126,28,5,3
32,126,74,0,2
32,137,18,5,3
30,137,83,0,2
